"Date","Safari","Chrome","Firefox","Samsung Internet","Opera","Mozilla","Edge","UC Browser","Yandex Browser","Instabridge","Other"
2022-01,53.87,34.92,3.63,4.09,1.88,0.15,0.88,0.4,0.06,0.08,0.05
2022-02,83.79,13.48,0.92,0.64,0.38,0.21,0.27,0.2,0.05,0.03,0.03
2022-03,99.2,0.69,0,0,0,0.11,0,0,0,0,0
2022-04,99.22,0.18,0.03,0,0,0.57,0,0,0,0,0
2022-05,98.88,0.86,0,0,0,0.25,0,0,0,0,0
2022-06,99.46,0.22,0,0,0,0.33,0,0,0,0,0
2022-07,96.97,2.23,0.8,0,0,0,0,0,0,0,0
2022-08,97.54,2.35,0,0,0,0.11,0,0,0,0,0
2022-09,99.48,0.24,0,0,0,0.28,0,0,0,0,0
2022-10,98.15,1.68,0,0,0.02,0.15,0,0,0,0,0
2022-11,99.23,0.56,0.04,0,0,0.18,0,0,0,0,0
2022-12,99.57,0.19,0,0,0,0.24,0,0,0,0,0
