"Date","Chrome","Safari","Edge","Firefox","Samsung Internet","Opera","Yandex Browser","Instabridge","Android","IE","UC Browser","Mozilla","Edge Legacy","Sony PS4","Chromium","Unknown","Maxthon","Other"
2022-01,58.59,21.24,5.65,5.95,3.54,3.03,0.66,0.06,0.37,0.38,0.13,0.08,0.09,0.05,0.05,0.02,0.02,0.09
2022-02,58.97,20.74,5.88,5.72,3.25,3.01,0.66,0.52,0.37,0.36,0.13,0.08,0.09,0.05,0.05,0.02,0.02,0.07
2022-03,59.07,19.31,5.44,5.84,3.34,3.26,0.7,1.83,0.36,0.32,0.13,0.07,0.12,0.05,0.05,0.02,0.02,0.07
2022-04,59.3,18.53,5.36,6.11,3.54,2.86,0.78,2.24,0.41,0.33,0.14,0.09,0.08,0.06,0.05,0.02,0.02,0.08
2022-05,59.66,19.86,5.58,5.88,3.45,3.02,0.7,0.69,0.37,0.29,0.14,0.08,0.09,0.05,0.03,0.02,0.02,0.07
2022-06,58.93,20,5.83,6.28,3.45,3.15,0.69,0.6,0.37,0.26,0.13,0.07,0.06,0.04,0.02,0.02,0.01,0.07
2022-07,58.78,19.92,5.85,6.51,3.55,3.14,0.71,0.42,0.41,0.25,0.13,0.07,0.06,0.05,0.03,0.02,0.01,0.08
2022-08,59.28,19.97,5.87,5.83,3.61,3.01,0.74,0.5,0.48,0.26,0.12,0.07,0.06,0.05,0.02,0.02,0.01,0.09
2022-09,58.91,20.91,6.04,5.45,3.21,3.13,0.67,0.54,0.45,0.26,0.11,0.07,0.06,0.04,0.02,0.02,0.01,0.09
2022-10,58.13,22.49,5.76,5.04,3,3.73,0.69,0.19,0.37,0.24,0.09,0.06,0.04,0.03,0.02,0.01,0.01,0.08
2022-11,58.67,21.54,5.95,5.23,3.17,3.5,0.79,0.18,0.37,0.23,0.1,0.07,0.05,0.04,0.02,0.02,0.01,0.08
2022-12,58.48,21.66,5.82,5.22,3.38,3.36,0.88,0.2,0.41,0.19,0.12,0.07,0.05,0.04,0.02,0.02,0.01,0.08
