"Date","Chrome","Safari","Edge","Firefox","Samsung Internet","Opera","IE","Android","360 Safe Browser","Mozilla","UC Browser","Edge Legacy","Yandex Browser","Sony PS4","Instabridge","Sogou Explorer","QQ Browser","Puffin","Coc Coc","Unknown","Other"
2022-01,52.91,31.64,6.2,3.47,3.6,0.91,0.29,0.12,0.26,0.13,0.13,0.07,0.02,0.05,0.01,0.03,0.04,0.01,0.01,0.01,0.06
2022-02,55.12,29.56,6.66,3.37,3.32,0.86,0.23,0.14,0.16,0.13,0.1,0.06,0.02,0.04,0.11,0.02,0.02,0.01,0.01,0.01,0.07
2022-03,55.46,28.49,7.29,3.57,3.21,0.83,0.27,0.15,0.14,0.12,0.09,0.06,0.03,0.04,0.1,0.02,0.02,0.01,0.01,0.01,0.08
2022-04,52.22,31.01,6.71,4.38,3.6,0.82,0.35,0.16,0.15,0.13,0.1,0.08,0.04,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.08
2022-05,52.65,30.89,6.79,4.23,3.25,0.91,0.44,0.15,0.13,0.15,0.1,0.08,0.04,0.04,0,0.02,0.02,0.02,0.02,0.01,0.07
2022-06,54.57,29.18,7.87,3.42,3.02,0.93,0.23,0.14,0.12,0.13,0.09,0.06,0.05,0.04,0,0.02,0.02,0.02,0.01,0.01,0.08
2022-07,59.07,25.46,7.29,2.93,3.4,0.92,0.18,0.16,0.1,0.11,0.07,0.08,0.05,0.04,0,0.02,0.01,0.01,0.01,0.01,0.07
2022-08,55.78,28.51,7.59,3.17,3.07,0.93,0.18,0.17,0.12,0.11,0.08,0.06,0.06,0.03,0,0.01,0.01,0.01,0.01,0.01,0.07
2022-09,52.67,31.98,6.64,3.47,3.2,1.02,0.24,0.15,0.13,0.14,0.08,0.06,0.06,0.03,0,0.02,0.01,0.02,0.01,0.01,0.07
2022-10,52.97,32.5,6.3,3.19,3.05,1.09,0.19,0.14,0.12,0.13,0.08,0.04,0.04,0.03,0,0.02,0.01,0.01,0.01,0.01,0.07
2022-11,52.67,31.99,6.74,3.45,3.15,1.09,0.17,0.15,0.12,0.14,0.08,0.05,0.05,0.03,0,0.02,0.02,0.01,0.01,0.01,0.07
2022-12,51.19,33.23,6.51,3.51,3.46,1.13,0.17,0.16,0.13,0.13,0.09,0.04,0.05,0.04,0,0.03,0.02,0.01,0.01,0.01,0.07
