"Date","Chrome","Safari","Edge","Firefox","Samsung Internet","Opera","UC Browser","Android","IE","Instabridge","360 Safe Browser","QQ Browser","Yandex Browser","Whale Browser","Edge Legacy","Puffin","Coc Coc","Mozilla","KaiOS","Sogou Explorer","Sony PS4","Unknown","Chromium","Maxthon","Other"
2022-01,63.06,19.84,4.12,4.18,2.89,2.33,0.89,0.65,0.45,0.19,0.24,0.24,0.25,0.12,0.08,0.07,0.07,0.08,0.08,0.05,0.03,0.02,0.02,0.01,0.04
2022-02,62.78,19.3,4.06,4.21,2.77,2.26,0.86,0.65,0.47,1.21,0.23,0.23,0.22,0.11,0.15,0.07,0.07,0.08,0.1,0.05,0.03,0.02,0.02,0.01,0.04
2022-03,64.53,18.84,4.05,3.4,2.82,2.22,0.82,0.64,0.38,0.91,0.24,0.23,0.23,0.12,0.13,0.08,0.06,0.07,0.08,0.05,0.03,0.02,0.02,0.01,0.05
2022-04,64.34,19.16,4.05,3.41,2.85,2.07,0.84,0.76,0.39,0.66,0.26,0.24,0.23,0.11,0.16,0.09,0.06,0.08,0.07,0.05,0.03,0.03,0.02,0.01,0.04
2022-05,64.95,19.01,3.99,3.26,2.85,2.11,0.76,0.7,0.64,0.25,0.23,0.22,0.22,0.11,0.23,0.1,0.07,0.07,0.07,0.04,0.03,0.02,0.01,0.01,0.04
2022-06,65.87,18.61,4.13,3.26,2.87,2.11,0.71,0.68,0.29,0.21,0.22,0.21,0.22,0.11,0.06,0.1,0.08,0.07,0.05,0.04,0.03,0.02,0.01,0.01,0.03
2022-07,65.12,18.86,4.11,3.29,2.95,2.12,1,0.72,0.28,0.16,0.23,0.35,0.22,0.11,0.05,0.11,0.08,0.07,0.03,0.04,0.03,0.03,0.01,0.01,0.03
2022-08,65.52,18.78,4.3,3.16,2.85,2.2,0.74,0.77,0.31,0.16,0.23,0.21,0.21,0.11,0.05,0.1,0.06,0.06,0.03,0.04,0.03,0.04,0.01,0.01,0.03
2022-09,65.68,18.68,4.33,3.15,2.75,2.26,0.71,0.73,0.33,0.18,0.23,0.21,0.21,0.1,0.06,0.09,0.06,0.07,0.03,0.04,0.02,0.04,0.01,0.01,0.04
2022-10,65.27,19.03,4.4,3.07,2.7,2.49,0.63,0.78,0.32,0.09,0.23,0.19,0.23,0.1,0.05,0.09,0.08,0.07,0.04,0.04,0.02,0.02,0.01,0.01,0.04
2022-11,65.86,18.67,4.45,3.04,2.68,2.27,0.67,0.72,0.3,0.08,0.23,0.18,0.25,0.09,0.05,0.09,0.13,0.07,0.04,0.03,0.02,0.02,0.01,0.01,0.04
2022-12,64.68,18.29,4.23,3.01,3.05,2.25,1.72,0.82,0.28,0.08,0.39,0.29,0.26,0.11,0.05,0.09,0.13,0.07,0.06,0.05,0.02,0.02,0.01,0.01,0.04
